;pais;Imunizados;media_vacinacao;vacina_utilizada
0;China;1935869000.0;7625825.875502008;['CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac']
1;India;576365820.0;2579199.128440367;['Covaxin, Oxford/AstraZeneca, Sputnik V']
2;United States;361684564.0;1470193.9467213114;['Johnson&Johnson, Moderna, Pfizer/BioNTech']
3;Brazil;173650317.0;779438.5581395349;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
4;Japan;115739998.0;611122.8907103825;['Moderna, Pfizer/BioNTech']
5;Germany;99340944.0;417239.9025423729;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
6;United Kingdom;89070370.0;354415.544;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
7;Turkey;88443350.0;394579.7409090909;['Pfizer/BioNTech, Sinovac']
8;Indonesia;88197072.0;384875.19909502263;['Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac']
9;France;82917669.0;346865.0468085106;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
10;Mexico;80404167.0;328692.57740585774;['CanSino, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V']
11;Russia;76458068.0;299570.0562248996;['EpiVacCorona, Sputnik V']
12;Italy;75194688.0;314591.52320675104;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
13;England;74567978.0;290386.07843137253;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
14;Spain;63090941.0;273045.2026431718;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
15;Canada;52303664.0;207735.82;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
16;Pakistan;46456077.0;223185.365;['CanSino, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V']
17;Argentina;38584379.0;159456.25957446807;['Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V']
18;South Korea;36299704.0;192389.55681818182;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
19;Poland;35763435.0;151453.4;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
20;Saudi Arabia;33735074.0;144505.3039647577;['Oxford/AstraZeneca, Pfizer/BioNTech']
21;Colombia;33005580.0;175677.6739130435;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
22;Malaysia;30840093.0;164927.35393258426;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
23;Morocco;30136555.0;142727.26341463416;['Oxford/AstraZeneca, Sinopharm/Beijing']
24;Philippines;29127240.0;162824.43859649124;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V']
25;Chile;27949717.0;114822.23430962343;['CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
26;Thailand;25818666.0;140305.5028901734;['Oxford/AstraZeneca, Sinovac']
27;Bangladesh;22415481.0;104901.2657004831;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
28;Netherlands;21731346.0;97214.25112107623;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
29;Iran;19894523.0;96947.26455026455;['Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V']
30;United Arab Emirates;17683483.0;73582.36842105263;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V']
31;Sri Lanka;17587688.0;82629.37073170731;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
32;Cambodia;16928413.0;84812.5625;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac']
33;Australia;16815098.0;85214.44919786096;['Oxford/AstraZeneca, Pfizer/BioNTech']
34;Peru;16640510.0;85489.578125;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
35;Ecuador;16500237.0;73591.03791469194;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
36;Vietnam;16306199.0;91690.57575757576;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
37;Belgium;15782561.0;67000.86752136752;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
